log_file,event_index,mode,profile,tier1_on,tier2_on,type_c_attack,fwd_sp,relay_decision,relay_reason,severity,da_ack_status,expected_block_attack,policy_ok
baseline_t01.log,0,baseline,,True,True,False,1.62,accept,tier2_ok,0.001388,0,allow_benign,True
baseline_t01.log,1,baseline,,True,True,False,1.62,accept,tier2_ok,0.001388,0,allow_benign,True
baseline_t02.log,0,baseline,,True,True,False,1.62,accept,tier2_ok,0.001388,0,allow_benign,True
baseline_t02.log,1,baseline,,True,True,False,1.62,accept,tier2_ok,0.001388,0,allow_benign,True
baseline_t03.log,0,baseline,,True,True,False,1.62,accept,tier2_ok,0.001388,0,allow_benign,True
baseline_t03.log,1,baseline,,True,True,False,1.62,accept,tier2_ok,0.001388,0,allow_benign,True
baseline_t04.log,0,baseline,,True,True,False,1.62,accept,tier2_ok,0.001388,0,allow_benign,True
baseline_t04.log,1,baseline,,True,True,False,1.62,accept,tier2_ok,0.001388,0,allow_benign,True
baseline_t05.log,0,baseline,,True,True,False,1.62,accept,tier2_ok,0.001388,0,allow_benign,True
baseline_t05.log,1,baseline,,True,True,False,1.62,accept,tier2_ok,0.001388,0,allow_benign,True
baseline_t10_t20_benign_nominal_t001.log,0,baseline,benign_nominal,False,False,False,1.62,accept,tier2_disabled_env,,0,allow_benign,True
baseline_t10_t20_benign_nominal_t001.log,1,baseline,benign_nominal,False,False,False,1.62,accept,tier2_disabled_env,,0,allow_benign,True
baseline_t10_t20_benign_nominal_t002.log,0,baseline,benign_nominal,False,False,False,1.62,accept,tier2_disabled_env,,0,allow_benign,True
baseline_t10_t20_benign_nominal_t002.log,1,baseline,benign_nominal,False,False,False,1.62,accept,tier2_disabled_env,,0,allow_benign,True
baseline_t10_t20_benign_nominal_t003.log,0,baseline,benign_nominal,False,False,False,1.62,accept,tier2_disabled_env,,0,allow_benign,True
baseline_t10_t20_benign_nominal_t003.log,1,baseline,benign_nominal,False,False,False,1.62,accept,tier2_disabled_env,,0,allow_benign,True
baseline_t10_t20_boundary_safe_both_t001.log,0,baseline,boundary_safe_both,False,False,False,2.0,accept,tier2_disabled_env,,0,allow_benign,True
baseline_t10_t20_boundary_safe_both_t001.log,1,baseline,boundary_safe_both,False,False,False,2.0,accept,tier2_disabled_env,,0,allow_benign,True
baseline_t10_t20_boundary_safe_both_t002.log,0,baseline,boundary_safe_both,False,False,False,2.0,accept,tier2_disabled_env,,0,allow_benign,True
