log_file,mode,fdia,type_c,tier1_env,tier2_env,tier1_on,tier2_on,profile,cc_setpoint,n_relay_lines,n_accept,n_reject,accept_rate,median_relay_latency_ms,median_da_latency_ms,median_severity_accepted,median_severity_rejected,paired_controls,pair_policy_accuracy,attack_block_rate,benign_false_block_rate
baseline_t01.log,baseline,False,False,,1,True,True,,,2,2,0,1.0,0.266,0.5405,0.001388,,2,1.0,,0.0
baseline_t02.log,baseline,False,False,,1,True,True,,,2,2,0,1.0,0.278,0.5575,0.001388,,2,1.0,,0.0
baseline_t03.log,baseline,False,False,,1,True,True,,,2,2,0,1.0,0.45299999999999996,0.7695,0.001388,,2,1.0,,0.0
baseline_t04.log,baseline,False,False,,1,True,True,,,2,2,0,1.0,0.3125,0.6265000000000001,0.001388,,2,1.0,,0.0
baseline_t05.log,baseline,False,False,,1,True,True,,,2,2,0,1.0,0.2885,0.5680000000000001,0.001388,,2,1.0,,0.0
baseline_t10_t20_benign_nominal_t001.log,baseline,False,False,0,0,False,False,benign_nominal,1.62,2,2,0,1.0,0.0455,0.6975,,,2,1.0,,0.0
baseline_t10_t20_benign_nominal_t002.log,baseline,False,False,0,0,False,False,benign_nominal,1.62,2,2,0,1.0,0.048,0.3325,,,2,1.0,,0.0
baseline_t10_t20_benign_nominal_t003.log,baseline,False,False,0,0,False,False,benign_nominal,1.62,2,2,0,1.0,0.0495,0.335,,,2,1.0,,0.0
baseline_t10_t20_boundary_safe_both_t001.log,baseline,False,False,0,0,False,False,boundary_safe_both,2.0,2,2,0,1.0,0.0475,0.359,,,2,1.0,,0.0
baseline_t10_t20_boundary_safe_both_t002.log,baseline,False,False,0,0,False,False,boundary_safe_both,2.0,2,2,0,1.0,0.0495,0.3365,,,2,1.0,,0.0
baseline_t10_t20_boundary_safe_both_t003.log,baseline,False,False,0,0,False,False,boundary_safe_both,2.0,2,2,0,1.0,0.047,0.3305,,,2,1.0,,0.0
baseline_t10_t20_boundary_tier2_only_t001.log,baseline,False,False,0,0,False,False,boundary_tier2_only,2.5,2,2,0,1.0,0.045,0.30000000000000004,,,2,1.0,,0.0
baseline_t10_t20_boundary_tier2_only_t002.log,baseline,False,False,0,0,False,False,boundary_tier2_only,2.5,2,2,0,1.0,0.0435,0.3265,,,2,1.0,,0.0
baseline_t10_t20_boundary_tier2_only_t003.log,baseline,False,False,0,0,False,False,boundary_tier2_only,2.5,2,2,0,1.0,0.0445,0.377,,,2,1.0,,0.0
baseline_t10_t21_benign_nominal_t001.log,baseline,False,False,0,1,False,True,benign_nominal,1.62,2,2,0,1.0,0.28,0.9665,0.001388,,2,1.0,,0.0
baseline_t10_t21_benign_nominal_t002.log,baseline,False,False,0,1,False,True,benign_nominal,1.62,2,2,0,1.0,0.2945,0.589,0.001388,,2,1.0,,0.0
baseline_t10_t21_benign_nominal_t003.log,baseline,False,False,0,1,False,True,benign_nominal,1.62,2,2,0,1.0,0.24,0.592,0.001388,,2,1.0,,0.0
baseline_t10_t21_boundary_safe_both_t001.log,baseline,False,False,0,1,False,True,boundary_safe_both,2.0,2,2,0,1.0,0.283,0.642,0.051364,,2,1.0,,0.0
baseline_t10_t21_boundary_safe_both_t002.log,baseline,False,False,0,1,False,True,boundary_safe_both,2.0,2,2,0,1.0,0.26549999999999996,0.565,0.051364,,2,1.0,,0.0
baseline_t10_t21_boundary_safe_both_t003.log,baseline,False,False,0,1,False,True,boundary_safe_both,2.0,2,2,0,1.0,0.252,0.499,0.051364,,2,1.0,,0.0
baseline_t10_t21_boundary_tier2_only_t001.log,baseline,False,False,0,1,False,True,boundary_tier2_only,2.5,2,0,2,0.0,0.29700000000000004,0.632,,0.120776,2,0.0,,1.0
baseline_t10_t21_boundary_tier2_only_t002.log,baseline,False,False,0,1,False,True,boundary_tier2_only,2.5,2,0,2,0.0,0.249,0.81,,0.120776,2,0.0,,1.0
baseline_t10_t21_boundary_tier2_only_t003.log,baseline,False,False,0,1,False,True,boundary_tier2_only,2.5,2,0,2,0.0,0.244,0.494,,0.120776,2,0.0,,1.0
baseline_t11_t20_benign_nominal_t001.log,baseline,False,False,1,0,True,False,benign_nominal,1.62,2,2,0,1.0,0.049,0.3035,,,2,1.0,,0.0
baseline_t11_t20_benign_nominal_t002.log,baseline,False,False,1,0,True,False,benign_nominal,1.62,2,2,0,1.0,0.0485,0.531,,,2,1.0,,0.0
baseline_t11_t20_benign_nominal_t003.log,baseline,False,False,1,0,True,False,benign_nominal,1.62,2,2,0,1.0,0.0485,0.33499999999999996,,,2,1.0,,0.0
baseline_t11_t20_boundary_safe_both_t001.log,baseline,False,False,1,0,True,False,boundary_safe_both,2.0,2,2,0,1.0,0.0505,0.35250000000000004,,,2,1.0,,0.0
baseline_t11_t20_boundary_safe_both_t002.log,baseline,False,False,1,0,True,False,boundary_safe_both,2.0,2,2,0,1.0,0.0485,0.2855,,,2,1.0,,0.0
baseline_t11_t20_boundary_safe_both_t003.log,baseline,False,False,1,0,True,False,boundary_safe_both,2.0,2,2,0,1.0,0.0455,0.4215,,,2,1.0,,0.0
baseline_t11_t20_boundary_tier2_only_t001.log,baseline,False,False,1,0,True,False,boundary_tier2_only,2.5,2,2,0,1.0,0.057999999999999996,0.601,,,2,1.0,,0.0
baseline_t11_t20_boundary_tier2_only_t002.log,baseline,False,False,1,0,True,False,boundary_tier2_only,2.5,2,2,0,1.0,0.055,0.336,,,2,1.0,,0.0
baseline_t11_t20_boundary_tier2_only_t003.log,baseline,False,False,1,0,True,False,boundary_tier2_only,2.5,2,2,0,1.0,0.0525,0.6755,,,2,1.0,,0.0
baseline_t11_t21_benign_nominal_t001.log,baseline,False,False,1,1,True,True,benign_nominal,1.62,2,2,0,1.0,0.23600000000000002,0.504,0.001388,,2,1.0,,0.0
baseline_t11_t21_benign_nominal_t002.log,baseline,False,False,1,1,True,True,benign_nominal,1.62,2,2,0,1.0,0.2455,0.493,0.001388,,2,1.0,,0.0
baseline_t11_t21_benign_nominal_t003.log,baseline,False,False,1,1,True,True,benign_nominal,1.62,2,2,0,1.0,0.244,0.5335,0.001388,,2,1.0,,0.0
baseline_t11_t21_boundary_safe_both_t001.log,baseline,False,False,1,1,True,True,boundary_safe_both,2.0,2,2,0,1.0,0.28900000000000003,0.937,0.051364,,2,1.0,,0.0
baseline_t11_t21_boundary_safe_both_t002.log,baseline,False,False,1,1,True,True,boundary_safe_both,2.0,2,2,0,1.0,0.243,0.646,0.051364,,2,1.0,,0.0
baseline_t11_t21_boundary_safe_both_t003.log,baseline,False,False,1,1,True,True,boundary_safe_both,2.0,2,2,0,1.0,0.39749999999999996,0.7869999999999999,0.051364,,2,1.0,,0.0
baseline_t11_t21_boundary_tier2_only_t001.log,baseline,False,False,1,1,True,True,boundary_tier2_only,2.5,2,0,2,0.0,0.2685,0.5409999999999999,,0.120776,2,0.0,,1.0
baseline_t11_t21_boundary_tier2_only_t002.log,baseline,False,False,1,1,True,True,boundary_tier2_only,2.5,2,0,2,0.0,0.2545,0.5409999999999999,,0.120776,2,0.0,,1.0
baseline_t11_t21_boundary_tier2_only_t003.log,baseline,False,False,1,1,True,True,boundary_tier2_only,2.5,2,0,2,0.0,0.35100000000000003,0.6735,,0.120776,2,0.0,,1.0
combined_t01.log,combined,True,True,,1,True,True,,,2,0,2,0.0,0.026000000000000002,0.27949999999999997,,,2,1.0,1.0,
combined_t02.log,combined,True,True,,1,True,True,,,2,0,2,0.0,0.029,0.318,,,2,1.0,1.0,
combined_t03.log,combined,True,True,,1,True,True,,,2,0,2,0.0,0.035,0.333,,,2,1.0,1.0,
combined_t04.log,combined,True,True,,1,True,True,,,2,0,2,0.0,0.028,0.3765,,,2,1.0,1.0,
combined_t05.log,combined,True,True,,1,True,True,,,2,0,2,0.0,0.025500000000000002,0.28400000000000003,,,2,1.0,1.0,
combined_t10_t20_benign_nominal_t001.log,combined,True,True,0,0,False,False,benign_nominal,1.62,2,2,0,1.0,0.046,0.33599999999999997,,,2,0.0,0.0,
combined_t10_t20_benign_nominal_t002.log,combined,True,True,0,0,False,False,benign_nominal,1.62,2,2,0,1.0,0.0485,0.4185,,,2,0.0,0.0,
combined_t10_t20_benign_nominal_t003.log,combined,True,True,0,0,False,False,benign_nominal,1.62,2,2,0,1.0,0.05,0.7255,,,2,0.0,0.0,
combined_t10_t20_boundary_safe_both_t001.log,combined,True,True,0,0,False,False,boundary_safe_both,2.0,2,2,0,1.0,0.05,0.39449999999999996,,,2,0.0,0.0,
combined_t10_t20_boundary_safe_both_t002.log,combined,True,True,0,0,False,False,boundary_safe_both,2.0,2,2,0,1.0,0.054,0.392,,,2,0.0,0.0,
combined_t10_t20_boundary_safe_both_t003.log,combined,True,True,0,0,False,False,boundary_safe_both,2.0,2,2,0,1.0,0.054000000000000006,0.384,,,2,0.0,0.0,
combined_t10_t20_boundary_tier2_only_t001.log,combined,True,True,0,0,False,False,boundary_tier2_only,2.5,2,2,0,1.0,0.0475,0.6950000000000001,,,2,0.0,0.0,
combined_t10_t20_boundary_tier2_only_t002.log,combined,True,True,0,0,False,False,boundary_tier2_only,2.5,2,2,0,1.0,0.0505,0.406,,,2,0.0,0.0,
combined_t10_t20_boundary_tier2_only_t003.log,combined,True,True,0,0,False,False,boundary_tier2_only,2.5,2,2,0,1.0,0.052500000000000005,0.395,,,2,0.0,0.0,
combined_t10_t21_benign_nominal_t001.log,combined,True,True,0,1,False,True,benign_nominal,1.62,2,0,2,0.0,0.28200000000000003,0.7785,,0.884301,2,1.0,1.0,
combined_t10_t21_benign_nominal_t002.log,combined,True,True,0,1,False,True,benign_nominal,1.62,2,0,2,0.0,0.2455,0.5035000000000001,,0.884301,2,1.0,1.0,
combined_t10_t21_benign_nominal_t003.log,combined,True,True,0,1,False,True,benign_nominal,1.62,2,0,2,0.0,0.265,1.2325,,0.884301,2,1.0,1.0,
combined_t10_t21_boundary_safe_both_t001.log,combined,True,True,0,1,False,True,boundary_safe_both,2.0,2,0,2,0.0,0.29700000000000004,0.9125000000000001,,0.884301,2,1.0,1.0,
combined_t10_t21_boundary_safe_both_t002.log,combined,True,True,0,1,False,True,boundary_safe_both,2.0,2,0,2,0.0,0.26449999999999996,3.0905,,0.884301,2,1.0,1.0,
combined_t10_t21_boundary_safe_both_t003.log,combined,True,True,0,1,False,True,boundary_safe_both,2.0,2,0,2,0.0,0.28300000000000003,1.6785,,0.884301,2,1.0,1.0,
combined_t10_t21_boundary_tier2_only_t001.log,combined,True,True,0,1,False,True,boundary_tier2_only,2.5,2,0,2,0.0,0.259,0.6835,,0.884301,2,1.0,1.0,
combined_t10_t21_boundary_tier2_only_t002.log,combined,True,True,0,1,False,True,boundary_tier2_only,2.5,2,0,2,0.0,0.3175,1.0354999999999999,,0.884301,2,1.0,1.0,
combined_t10_t21_boundary_tier2_only_t003.log,combined,True,True,0,1,False,True,boundary_tier2_only,2.5,2,0,2,0.0,0.323,0.6945,,0.884301,2,1.0,1.0,
